office_name,office_address,gym_name,gym_address,distance_metres,walk_time_mins,gym_latitude,gym_longitude,crow_flies_distance_metres
160 Fleet Street,"160 Fleet St, London EC4A 2DQ, UK (EC4A 2DQ)",The Gym Group London Holborn Circus,"1 Thavies Inn, Holborn Circus, London EC4A 1AN, UK",300,4,51.516704,-0.107917,200
60 Gray's Inn Road,"60 Gray's Inn Rd, London WC1X 8LU, UK (WC1X 8LU)",The Gym Group London Holborn Circus,"1 Thavies Inn, Holborn Circus, London EC4A 1AN, UK",550,8,51.516704,-0.107917,485
Archer Street Studios,"10-11 Archer St, London W1D 7AZ, UK (W1D 7AZ)",The Gym Group London Oxford Street,"Entrance on, 120 Oxford St, Wells St, London W1D 1LT, UK",650,9,51.516045,-0.136396,509
Clerkenwell Workshops,"27-31 Clerkenwell Close, London EC1R 0AT, UK (EC1R 0AT)",The Gym Group London Angel,"265-269 Goswell Rd., London EC1V 7AH, UK",800,10,51.529953,-0.103042,687
Clerkenwell Workshops,"27-31 Clerkenwell Close, London EC1R 0AT, UK (EC1R 0AT)",The Gym Group London Holborn Circus,"1 Thavies Inn, Holborn Circus, London EC4A 1AN, UK",800,10,51.516704,-0.107917,839
East London Works,"75 Whitechapel Rd, London E1 1DU, UK (E1 1DU)",The Gym Group London Stepney Green,"Wickham House, 69-89 Mile End Rd, Bethnal Green, London E1 4TT, UK",1300,10,51.520883,-0.052852,1082
Exmouth House,"3-11 Pine St, London EC1R 0JH, UK (EC1R 0JH)",The Gym Group London Holborn Circus,"1 Thavies Inn, Holborn Circus, London EC4A 1AN, UK",850,9,51.516704,-0.107917,966
Exmouth House,"3-11 Pine St, London EC1R 0JH, UK (EC1R 0JH)",The Gym Group London Angel,"265-269 Goswell Rd., London EC1V 7AH, UK",650,8,51.529953,-0.103042,686
Faircharm Creative Quarter,"Fuel Tank, 8-12 Creekside, London SE8 3DX, UK (SE8 3DX)",The Gym Group London Greenwich,"Unit 2 Creek Rd, Mariners Parade, London SE10 9SW, UK",990,10,51.481329,-0.010813,794
Lock Studios,"7 Corsican Sq, London E3 3YD, UK (E3 3YD)",The Gym Group London Bromley By Bow,"24 Reed Ave, London E3 3ZA, UK",850,10,51.525465,-0.00971,696
Morie Street Studios,"4-6 Morie St, London SW18 1SL, UK (SW18 1SL)",The Gym Group London Wandsworth,"Garratt Ln, Southside Shopping Centre, London SW18 4TF, UK",550,8,51.454569,-0.193136,633
Record Hall,"16-16A Baldwin's Gardens, London EC1N 7RJ, UK (EC1N 7RJ)",The Gym Group London Holborn Circus,"1 Thavies Inn, Holborn Circus, London EC4A 1AN, UK",550,8,51.516704,-0.107917,402
The Chocolate Factory,"The Chocolate Factory, 5 Clarendon Rd, London N22 6XJ, UK (N22 6XJ)",The Gym Group London Wood Green The Mall,"The Mall, 98-100 High Rd, London N22 6YQ, UK",600,9,51.594579,-0.10952,337
The Chocolate Factory,"The Chocolate Factory, 5 Clarendon Rd, London N22 6XJ, UK (N22 6XJ)",The Gym Group London Wood Green Lordship Lane,"725 - 731 Lordship Ln, London N22 5JX, UK",650,10,51.597061,-0.107886,528
The Pill Box,"Pill Box, 115 Coventry Rd, London E2 6GG, UK (E2 6GG)",The Gym Group London Stepney Green,"Wickham House, 69-89 Mile End Rd, Bethnal Green, London E1 4TT, UK",650,9,51.520883,-0.052852,576
The Print Rooms,"164-180 Union St, London SE1 0LH, UK (SE1 0LH)",The Gym Group London Waterloo,"195-203 Waterloo Rd, Baron's Pl, London SE1 8UX, UK",600,9,51.500722,-0.107773,621
Vox Studios,"1-45 Durham St, London SE11 5JH, UK (SE11 5JH)",The Gym Group London Vauxhall,"6A Wandsworth Rd, St George Wharf, London SW8 2LE, UK",800,10,51.485665,-0.126098,535
Wenlock Studios,"G.03, Wenlock Studios, 50-52 Wharf Rd, London N1 7EU, UK (N1 7EU)",The Gym Group London Angel,"265-269 Goswell Rd., London EC1V 7AH, UK",850,10,51.529953,-0.103042,549
