office_name,office_address,gym_name,gym_address,distance_metres,walk_time_mins
138 Fetter Lane,EC4A 1BT,PureGym London Chancery Lane,"1-3 Chancery Lane, London, EC4A 1AY",120,2
138 Fetter Lane,EC4A 1BT,PureGym London Farringdon,"40-42 Farringdon Street, London, EC4A 4AN",500,7
160 Fleet Street,EC4A 2DQ,PureGym London Chancery Lane,"60-63 Chancery Ln, London WC2A 1HS",650,9
160 Fleet Street,EC4A 2DQ,PureGym London St Paul's,"15-17 Ludgate Hill, London EC4M 7AD",700,9
60 Gray's Inn Road,WC1X 8LU,PureGym London Holborn,"Saffron House, 6-10 Kirby St, London EC1N 8TS",650,9
Archer Street Studios,W1D 7AZ,PureGym London Soho,"33-35 Old Compton St, London W1D 5JU",280,4
Arches 39-44,NW1 9JN,PureGym London Camden,"Unit 2, The Interchange, Oval Road, London, NW1 7EP",650,9
Barley Mow Centre,W4 4PH,PureGym London Chiswick,"Chiswick High Rd, London W4 1SY",550,7
Bow Enterprise Park,E3 3TD,PureGym London Bow,"Unit 2, Bow Enterprise Park, 30-32 Bow Rd, London E3 3TD",50,1
Brickfields,E2 8HD,PureGym London Bethnal Green,"2-4 Old Ford Rd, Bethnal Green, London E2 9PJ",500,7
Buspace Studios,W10 5AP,PureGym London Ladbroke Grove,"151-153 Freston Road, London, W10 6TH",550,7
Canalot Studios,W10 5BN,PureGym London Ladbroke Grove,"150-152 Ladbroke Grove, London W10 5NE",350,5
Cannon Wharf,SE8 5EN,PureGym London Surrey Quays,"Surrey Quays Shopping Centre, Redriff Rd, London SE16 7LL",750,9
Canterbury Court,SW9 6DE,PureGym London Oval,"2-10 Voltaire Rd, London SW4 6DH",800,10
Cargo Works,SE1 9PG,PureGym London Waterloo,"The Concourse, Waterloo Station, London SE1 8SW",550,7
Cargo Works,SE1 9PG,PureGym London Southwark,"15-17 Hatfields, London SE1 9PG",450,6
Centro Buildings,NW1 0DU,PureGym London Camden,"8-9 Camden High St, London NW1 7JE",550,7
Chester House,SW9 6DE,PureGym London Oval,"12-15 Camberwell New Road, London, SE5 0TF",550,7
China Works,SE1 7SJ,PureGym London Lambeth,"81-87 South Lambeth Rd, London SW8 1RG",850,10
Clerkenwell Workshops,EC1R 0AT,PureGym London Farringdon,"31-35 Farringdon Rd, London EC1M 3JF",650,9
Cremer Business Centre,E2 8HD,PureGym London Shoreditch,"1-6 Bateman's Row, London EC2A 3HH",650,9
E1 Studios,E1 1DU,PureGym London Aldgate,"St Clare House, 30-33 Minories, London EC3N 1DD",650,9
Ealing Cross,W5 5TH,PureGym London Ealing,"2-8 New Broadway, London W5 2XA",550,7
East London Works,E1 1DU,PureGym London Whitechapel,"80-86 Whitechapel Rd, London E1 1JE",350,5
Edinburgh House,SE11 5DP,PureGym London Vauxhall,"Vauxhall Island Site, 100 Wandsworth Rd, London SW8 2JY",650,9
Exmouth House,EC1R 0JH,PureGym London Farringdon,"32-36 Saffron Hill, London EC1N 8FH",550,7
Exmouth House,EC1R 0JH,PureGym London Angel,"29-31 Pentonville Rd, London N1 9PX",800,10
Faircharm Creative Quarter,SE8 3DX,PureGym London Deptford,"Unit 2, Deptford Landings, Cannon Wharf, Evelyn Street, London, SE8 5RL",550,7
Fleet House,EC4V 6AL,PureGym London St Paul's,"15-17 Ludgate Hill, London EC4M 7PR",450,6
Fleet House,EC4V 6AL,PureGym London Fleet Street,"2-4 Fleet Street, London EC4Y 1AU",500,7
Greville Street,EC1N 8SS,PureGym London Farringdon,"1-3 Charterhouse St, London EC1N 6LT",350,5
Highgate Studios,NW5 1TL,PureGym London Kentish Town,"156-158 Kentish Town Rd, London NW1 9QB",850,10
Holywell Centre,EC2A 4PS,PureGym London Shoreditch,"1-6 Bateman's Row, London, EC2A 3HH",300,4
Holywell Centre,EC2A 4PS,PureGym London Old Street,"225 City Road, London, EC1V 1JT",650,9
Kennington Park,SW9 6DE,PureGym London Oval,"Unit 2, 298-306 South Lambeth Rd, London SW8 1SS",800,10
Leroy House,N1 3QP,PureGym London Angel,"338-346 Goswell Rd, London EC1V 7LQ",650,9
Lock Studios,E3 3YD,PureGym London Bow,"Unit 2, 60 Gillender St, London E3 3JX",550,7
Magenta House,E1 1DQ,PureGym London Aldgate,"88-92 Whitechapel Rd, London E1 1HS",500,7
Mare Street Studios,E8 3HE,PureGym London Hackney,"298-300 Mare St, London E8 1HE",350,5
Metal Box Factory,SE1 0HS,PureGym London Borough,"150 Borough High St, London SE1 1LB",550,7
Metal Box Factory,SE1 0HS,PureGym London Waterloo,"11-15 The Cut, London SE1 8FT",750,9
Mirror Works,E15 2NH,PureGym London Stratford,"Units 1-3, 30-38 Great Eastern Rd, London E15 1BB",500,7
Morie Street Studios,SW18 1SL,PureGym London Wandsworth,"Wandsworth High Street, London, SW18 4FA",550,7
Pall Mall Deposit,W10 6BL,PureGym London Ladbroke Grove,"Unit 2, The Ladbroke Grove Leisure Centre, Barandon Walk, London W11 1AS",750,9
Quality Court,WC2A 1HR,PureGym London Chancery Lane,"84-86 Chancery Lane, London WC2A 1DL",120,2
Quality Court,WC2A 1HR,PureGym London Holborn,"127-133 High Holborn, London WC1V 6NP",600,8
Record Hall,EC1N 7RJ,PureGym London Chancery Lane,"80-86 Chancery Lane, London, WC2A 1ET",550,7
Record Hall,EC1N 7RJ,PureGym London Farringdon,"33-35 Charterhouse St, London, EC1M 6PX",750,9
Riverside Business Centre,SW18 4UQ,PureGym London Wandsworth,"Wandsworth High St, London SW18 4JR",650,9
Salisbury House,EC2M 5SQ,PureGym London Moorgate,"105 Moorgate, London EC2M 6SD",230,3
Salisbury House,EC2M 5SQ,PureGym London Aldgate,"15-17 Mansell St, London E1 8AA",750,9
Screenworks,N5 2EF,PureGym London Highbury,"81-83 Highbury Grove, London N5 1HF",500,7
Southbank House,SE1 7SJ,PureGym London Waterloo,"Unit 2, 85-87 Waterloo Rd, London SE1 8UD",550,7
The Biscuit Factory,SE16 4DG,PureGym London Bermondsey,"The Biscuit Factory, 100 Drummond Rd, London SE16 4DG",0,0
The Bon Marche Centre,SW9 8BJ,PureGym London Brixton,"422-424 Brixton Rd, London SW9 7AY",450,6
The Chocolate Factory,N22 6XJ,PureGym London Wood Green,"Unit 1, Wood Green Shopping City, High Rd, London N22 6BA",550,7
The Frames,EC2A 4PS,PureGym London Shoreditch,"1-6 Bateman's Row, London, EC2A 3HH",280,4
The Frames,EC2A 4PS,PureGym London Old Street,"335-347 Old St, London, EC1V 9LL",550,8
The Fuel Tin,SE8 3DX,PureGym London Surrey Quays,"Unit 4, Surrey Quays Leisure Park, SE16 7LL",850,10
The Leather Market,SE1 3ER,PureGym London Borough,"152-156 Long Ln, London SE1 4BS",500,7
The Mall,N1 0PD,PureGym London Angel,"30-35 Farringdon Rd, London EC1M 3JF",750,9
The Pill Box,E2 6GG,PureGym London Bethnal Green,"15-23 Bethnal Green Rd, London E1 6LA",550,7
The Print House,E8 3DL,PureGym London Dalston,"Unit 2, Dalston Cross Shopping Centre, Dalston, London E8 2LX",550,7
