office_name,office_address,gym_name,gym_address,distance_metres,walk_time_mins,gym_latitude,gym_longitude,crow_flies_distance_metres
138 Fetter Lane,EC4A 1BT,PureGym London Chancery Lane,"1-3 Chancery Lane, London, EC4A 1AY",120,2,51.515896,-0.109651,127
138 Fetter Lane,EC4A 1BT,PureGym London Farringdon,"40-42 Farringdon Street, London, EC4A 4AN",500,7,51.516905,-0.104752,305
160 Fleet Street,EC4A 2DQ,PureGym London Chancery Lane,"60-63 Chancery Ln, London WC2A 1HS",650,9,51.515421,-0.112006,335
160 Fleet Street,EC4A 2DQ,PureGym London St Paul's,"15-17 Ludgate Hill, London EC4M 7AD",700,9,51.514475,-0.104104,245
60 Gray's Inn Road,WC1X 8LU,PureGym London Holborn,"Saffron House, 6-10 Kirby St, London EC1N 8TS",650,9,51.519882,-0.107007,507
Archer Street Studios,W1D 7AZ,PureGym London Soho,"33-35 Old Compton St, London W1D 5JU",280,4,51.512938,-0.13158,196
Arches 39-44,NW1 9JN,PureGym London Camden,"Unit 2, The Interchange, Oval Road, London, NW1 7EP",650,9,51.539255,-0.148339,293
Barley Mow Centre,W4 4PH,PureGym London Chiswick,"Chiswick High Rd, London W4 1SY",550,7,51.493417,-0.249484,825
Bow Enterprise Park,E3 3TD,PureGym London Bow,"Unit 2, Bow Enterprise Park, 30-32 Bow Rd, London E3 3TD",50,1,51.524468,-0.008716,541
Brickfields,E2 8HD,PureGym London Bethnal Green,"2-4 Old Ford Rd, Bethnal Green, London E2 9PJ",500,7,51.529975,-0.053978,1569
Buspace Studios,W10 5AP,PureGym London Ladbroke Grove,"151-153 Freston Road, London, W10 6TH",550,7,51.51217,-0.219206,1895
Canalot Studios,W10 5BN,PureGym London Ladbroke Grove,"150-152 Ladbroke Grove, London W10 5NE",350,5,51.517376,-0.209764,815
Cannon Wharf,SE8 5EN,PureGym London Surrey Quays,"Surrey Quays Shopping Centre, Redriff Rd, London SE16 7LL",750,9,51.4944945,-0.0458974,1125
Canterbury Court,SW9 6DE,PureGym London Oval,"2-10 Voltaire Rd, London SW4 6DH",800,10,51.465938,-0.133615,2242
Cargo Works,SE1 9PG,PureGym London Waterloo,"The Concourse, Waterloo Station, London SE1 8SW",550,7,51.502707,-0.113252,631
Cargo Works,SE1 9PG,PureGym London Southwark,"15-17 Hatfields, London SE1 9PG",450,6,51.507582,-0.107719,147
Centro Buildings,NW1 0DU,PureGym London Camden,"8-9 Camden High St, London NW1 7JE",550,7,51.5349318,-0.138995,346
Chester House,SW9 6DE,PureGym London Oval,"12-15 Camberwell New Road, London, SE5 0TF",550,7,51.475441,-0.095974,1313
China Works,SE1 7SJ,PureGym London Lambeth,"81-87 South Lambeth Rd, London SW8 1RG",850,10,51.481868,-0.125375,1268
